file,decoded,ftx_entries,crash
Characters\TF\TF01_Inflatable.common.ovl,2,0,
Characters\TF\TF01_OnePiece.common.ovl,2,0,
Characters\TF\TF01_Skin.common.ovl,2,0,
Characters\TF\TF01_SwimSuitBody1_Main.common.ovl,0,0,
Characters\TF\TF01_SwimSuitBody1_Stub.common.ovl,0,0,
Characters\TF\TF01_SwimSuitBody2_Main.common.ovl,0,0,
Characters\TF\TF01_SwimSuitBody2_Stub.common.ovl,0,0,
Characters\TF\TF01_SwimSuitLegs1_Main.common.ovl,0,0,
Characters\TF\TF01_SwimSuitLegs1_Stub.common.ovl,0,0,
Characters\TF\TF01_SwimSuitLegs2_Main.common.ovl,0,0,
Characters\TF\TF01_SwimSuitLegs2_Stub.common.ovl,0,0,
Characters\TF\TF02.common.ovl,0,0,
Characters\TF\TF02_Body_Main.common.ovl,2,0,
Characters\TF\TF02_Body_Stub.common.ovl,0,0,
Characters\TF\TF02_Head_Main.common.ovl,0,0,
Characters\TF\TF02_Head_Stub.common.ovl,0,0,
Characters\TF\TF02_Legs.common.ovl,2,0,
Characters\TF\TF02_Legs_Main.common.ovl,0,0,
Characters\TF\TF02_Legs_Stub.common.ovl,0,0,
Characters\TF\TF02_Skin.common.ovl,2,0,
Characters\TF\TF03.common.ovl,0,0,
Characters\TF\TF03_Head_Main.common.ovl,0,0,
Characters\TF\TF03_Head_Stub.common.ovl,0,0,
Characters\TF\TF03_Skin.common.ovl,2,0,
Characters\TF\TF04.common.ovl,0,0,
Characters\TF\TF04_Head_Main.common.ovl,0,0,
Characters\TF\TF04_Head_Stub.common.ovl,0,0,
Characters\TF\TF04_Skin.common.ovl,2,0,
Characters\TF\TF05.common.ovl,0,0,
Characters\TF\TF05_Head_Main.common.ovl,0,0,
Characters\TF\TF05_Head_Stub.common.ovl,0,0,
Characters\TF\TF05_Skin.common.ovl,2,0,
Characters\TF\TF08.common.ovl,0,0,
Characters\TF\TF08_Body_Main.common.ovl,2,0,
Characters\TF\TF08_Body_Stub.common.ovl,0,0,
Characters\TF\TF08_Head_Main.common.ovl,0,0,
Characters\TF\TF08_Head_Stub.common.ovl,0,0,
Characters\TF\TF08_Legs_Main.common.ovl,2,0,
Characters\TF\TF08_Legs_Stub.common.ovl,0,0,
Characters\TF\TF08_Skin.common.ovl,2,0,
Characters\TM\TeenageMale.common.ovl,0,0,
Characters\TM\TM01.common.ovl,0,0,
Characters\TM\TM01_Body_Main.common.ovl,2,0,
Characters\TM\TM01_Body_Stub.common.ovl,0,0,
