file,type,count,samples
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track13\Track13.unique.ovl,spl,176,"45medslope2steepslopeL_Spline; 45medslope2steepslopeR_Spline; 45medslope2straightchainL_Spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track14\Track14.common.ovl,spl,223,"45medslope2straight45medslope2straight_BB; 45medslope2straight45medslope2straight_HI; 45medslope2straight45medslope2straight_LO"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track14\Track14.unique.ovl,spl,223,"45medslope2straight45medslope2straight_BB; 45medslope2straight45medslope2straight_HI; 45medslope2straight45medslope2straight_LO"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track15\Track15.common.ovl,spl,316,"45invmedslope2steepslopeL_spline; 45invmedslope2steepslopeR_spline; 45invmedslope2straightL_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track15\Track15.unique.ovl,spl,316,"45invmedslope2steepslopeL_spline; 45invmedslope2steepslopeR_spline; 45invmedslope2straightL_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track16\Track16.common.ovl,spl,34,"MedcurveL_spline; MedcurveR_spline; Medslope2straightchainL_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track16\Track16.unique.ovl,spl,34,"MedcurveL_spline; MedcurveR_spline; Medslope2straightchainL_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track17\Track17.common.ovl,spl,46,"45medslope2straightchainL_spline; 45medslope2straightchainR_spline; 45medslope2straightL_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track17\Track17.unique.ovl,spl,46,"45medslope2straightchainL_spline; 45medslope2straightchainR_spline; 45medslope2straightL_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track18\Track18.common.ovl,spl,78,"45invmedslope2steepslopeL_Spline; 45invmedslope2steepslopeR_Spline; 45invmedslope2straightchainL_Spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track18\Track18.unique.ovl,spl,78,"45invmedslope2steepslopeL_Spline; 45invmedslope2steepslopeR_Spline; 45invmedslope2straightchainL_Spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track19\Track19.common.ovl,spl,46,"Tightcurve2TiltedTightcurveLeftr_spline; Stationmiddlel_spline; Straightl_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track19\Track19.unique.ovl,spl,46,"Tightcurve2TiltedTightcurveLeftr_spline; Stationmiddlel_spline; Straightl_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track2\Track2.common.ovl,spl,110,"Medslopetiltleft2straighttiltleftR_spline; Steepslope2medslopeL_spline; StationmiddleL_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track2\Track2.unique.ovl,spl,110,"Medslopetiltleft2straighttiltleftR_spline; Steepslope2medslopeL_spline; StationmiddleL_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track20\Track20.common.ovl,spl,166,"watersplashL_spline; medslopetiltleft2straighttiltleftR_spline; 45medslope2straightL_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track20\Track20.unique.ovl,spl,166,"watersplashL_spline; medslopetiltleft2straighttiltleftR_spline; 45medslope2straightL_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track21\Track21.common.ovl,spl,44,"Medcurvel_spline; Medcurver_spline; Medslope2steepslopechainl_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track21\Track21.unique.ovl,spl,44,"Medcurvel_spline; Medcurver_spline; Medslope2steepslopechainl_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track22\Track22.common.ovl,spl,178,"45medslope2steepslopeL_spline; 45medslope2steepslopeR_spline; 45medslope2straightchainL_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track22\Track22.unique.ovl,spl,178,"45medslope2steepslopeL_spline; 45medslope2steepslopeR_spline; 45medslope2straightchainL_spline"
